crime,scope,t,trend,trend_season,shared_time_effect
burglary,PFA,40,-7.0795323492934745,-7.0795323492934745,-0.010928380966007702
burglary,PFA,41,-7.121709240332336,-7.080621445107521,0.0021171434633631843
burglary,PFA,42,-7.165945643607094,-7.0470089614362585,0.03121010419386632
burglary,PFA,43,-7.211211802999799,-7.139218287360288,0.05974870748730601
burglary_other,CSP,0,-7.040412581729603,-7.040412581729603,-0.04891987860927171
burglary_other,CSP,1,-7.085219050685313,-7.057050197239138,-0.09163499568222833
burglary_other,CSP,2,-7.1300823260361765,-7.0704101237414685,-0.01979363232921132
burglary_other,CSP,3,-7.175059214177351,-7.111642468234865,0.010840799530657677
burglary_other,CSP,4,-7.22020652150399,-7.22020652150399,0.09084396320535428
burglary_other,CSP,5,-7.26558105441125,-7.237412200965075,0.10548344434311908
burglary_other,CSP,6,-7.311239619294284,-7.251567416999575,0.1594680783013542
burglary_other,CSP,7,-7.35723902254825,-7.2938222766057645,0.2337385153208401
burglary_other,CSP,8,-7.4036360705683,-7.4036360705683,-0.17543126052637323
burglary_other,CSP,9,-7.450488070207483,-7.422319216761309,-0.13951508745352653
burglary_other,CSP,10,-7.497871783619377,-7.438199581324669,-0.16477262121520336
burglary_other,CSP,11,-7.545889246081089,-7.482472500138604,-0.1502484043897017
burglary_other,CSP,12,-7.594644181915105,-7.594644181915105,-0.04358027406099939
burglary_other,CSP,13,-7.644240315443911,-7.616071461997737,0.019729749360948665
burglary_other,CSP,14,-7.694781370989996,-7.635109168695287,0.03614317979843009
burglary_other,CSP,15,-7.7463710728758475,-7.682954326933362,0.058227577299049
burglary_other,CSP,16,-7.799113145423955,-7.799113145423955,0.13351676602915605
burglary_other,CSP,17,-7.853111312956802,-7.824942459510628,0.10122568641643179
burglary_other,CSP,18,-7.908320524849813,-7.848648322555104,0.10902491135649717
burglary_other,CSP,19,-7.9635961906352435,-7.900179444692758,0.15407146848489708
burglary_other,CSP,20,-8.017300902833192,-8.017300902833192,-0.15416799728499897
burglary_other,CSP,21,-8.06779492935521,-8.039626075909036,-0.09909324491825183
burglary_other,CSP,22,-8.113438538112849,-8.05376633581814,-0.08985995166823324
burglary_other,CSP,23,-8.152591997017659,-8.089175251075174,-0.21725627162041936
burglary_other,CSP,24,-8.18361557398119,-8.18361557398119,-0.08606828589869189
burglary_other,CSP,25,-8.204869536914996,-8.176700683468821,-0.02324756266003747
burglary_other,CSP,26,-8.214720294693533,-8.155048092398825,0.039437960754049095
burglary_other,CSP,27,-8.212836140327907,-8.14941939438542,0.04174983438388866
burglary_other,CSP,28,-8.201790042285035,-8.201790042285035,0.16798385818683803
burglary_other,CSP,29,-8.184547990657991,-8.156379137211816,0.08871210140901403
burglary_other,CSP,30,-8.164075975539852,-8.104403773245144,0.03096855252967553
burglary_other,CSP,31,-8.143339987023689,-8.079923241081202,0.04615799477594514
burglary_other,CSP,32,-8.12530601520258,-8.12530601520258,0.04776479407223142
burglary_other,CSP,33,-8.112940050169597,-8.084771196723421,0.021838548014241236
burglary_other,CSP,34,-8.109208082017815,-8.049535879723106,-0.054894969958701245
burglary_other,CSP,35,-8.116915800802957,-8.053499054860472,-0.08916552447113668
burglary_other,CSP,36,-8.136470333058881,-8.136470333058881,0.040842542925210466
burglary_other,CSP,37,-8.166432386370682,-8.138263532924507,-0.018290679630492267
burglary_other,CSP,38,-8.20531517201609,-8.145642969721383,-0.09080607983874993
burglary_other,CSP,39,-8.251631901272841,-8.188215155330356,-0.12121188102549105
burglary_other,CSP,40,-8.303895785418664,-8.303895785418664,0.019350050320589833
burglary_other,CSP,41,-8.36062003573129,-8.332451182285116,0.03044697361304115
burglary_other,CSP,42,-8.420317863488453,-8.360645661193743,0.04832375817033509
burglary_other,CSP,43,-8.481502479967885,-8.418085734025398,0.041147641604891906
burglary_other,PFA,0,-6.981322911813802,-6.981322911813802,-0.03185924636184122
burglary_other,PFA,1,-7.028706199932339,-6.995432407344615,-0.08815733378953686
burglary_other,PFA,2,-7.07607448582332,-7.014465220084615,-0.029725707669376544
burglary_other,PFA,3,-7.123412767259192,-7.061697029929291,0.006627614438432846
burglary_other,PFA,4,-7.170706042012397,-7.170706042012397,0.08043134499734275
burglary_other,PFA,5,-7.217939307855381,-7.184665515267657,0.09515404078528258
burglary_other,PFA,6,-7.2650975625605865,-7.203488296821881,0.15430715610822482
burglary_other,PFA,7,-7.31216580390046,-7.250450066570559,0.23353541945995446
burglary_other,PFA,8,-7.359129029647446,-7.359129029647446,-0.17261636521192883
burglary_other,PFA,9,-7.4059748663509675,-7.372701073763244,-0.13480606121559607
burglary_other,PFA,10,-7.452793134265518,-7.391183868526812,-0.1611364808819421
burglary_other,PFA,11,-7.499806406883047,-7.438090669553145,-0.13720646242930531
burglary_other,PFA,12,-7.547246129817804,-7.547246129817804,-0.03576215756552561
burglary_other,PFA,13,-7.595343748684043,-7.56206995609632,0.01984066369771877
burglary_other,PFA,14,-7.644330709096018,-7.582721443357313,0.030340326052847012
burglary_other,PFA,15,-7.69443845666798,-7.632722719338078,0.05820128232785137
burglary_other,PFA,16,-7.745898437014182,-7.745898437014182,0.13253065254078292
burglary_other,PFA,17,-7.798942095748877,-7.765668303161153,0.09794210629903527
burglary_other,PFA,18,-7.853631761728565,-7.792022495989859,0.11014798609854555
burglary_other,PFA,19,-7.908779885271978,-7.847064147942077,0.15730024863722525
burglary_other,PFA,20,-7.962638717437799,-7.962638717437799,-0.16347166513507547
burglary_other,PFA,21,-8.013457866835367,-7.980184074247644,-0.10440429736765117
burglary_other,PFA,22,-8.059486942074019,-7.997877676335312,-0.08310820195563724
burglary_other,PFA,23,-8.098975551763095,-8.037259814433193,-0.22256046394678547
burglary_other,PFA,24,-8.130173304511933,-8.130173304511933,-0.09111995419465234
burglary_other,PFA,25,-8.151329808929876,-8.118056016342154,-0.018668733222068714
burglary_other,PFA,26,-8.160701057364808,-8.099091791626101,0.04877476132091482
burglary_other,PFA,27,-8.15789639473627,-8.096180657406368,0.045658955423807115
burglary_other,PFA,28,-8.145544674295868,-8.145544674295868,0.16897735611578535
burglary_other,PFA,29,-8.126683308562114,-8.093409515974392,0.0868548926581913
burglary_other,PFA,30,-8.10434971005353,-8.042740444314825,0.033321268937158685
burglary_other,PFA,31,-8.081581291288629,-8.019865553958727,0.04755925981031985
